91,0
23,1
68,0
86,0
21,1
31,0
45,0
75,0
124,0
51,0
76,0
41,0
114,0
32,0
42,0
4,0
84,0
106,0
162,0
157,0
65,0
5,0
144,0
83,0
158,0
18,0
164,0
63,0
93,0
74,0
118,0
35,0
120,0
149,0
16,0
36,1
151,0
146,0
147,0
127,0
64,0
156,0
148,0
161,0
152,0
163,0
15,0
78,0
136,0
26,1
111,0
17,0
107,0
143,0
57,0
61,0
98,0
129,0
138,0
11,0
104,0
71,0
70,0
92,1
9,0
88,0
137,0
140,0
54,0
59,0
154,0
155,0
19,0
108,0
48,0
22,0
73,0
52,0
141,0
109,0
24,0
96,0
1,0
30,0
95,1
90,0
27,0
69,0
139,0
6,0
121,0
10,0
81,0
3,0
8,0
12,0
13,0
34,0
130,0
94,0
122,0
102,0
126,0
50,0
67,0
128,0
7,0
89,1
20,0
110,0
58,0
29,1
55,0
123,0
97,0
115,0
40,0
105,0
165,0
103,0
101,0
131,0
85,0
159,0
72,0
135,0
119,0
133,0
28,0
112,0
117,0
142,0
113,0
153,0
14,0
2,0
53,0
39,0
80,0
56,0
134,0
132,0
37,0
116,0
25,0
160,0
145,0
